impl	B	H	T	D	dtype	fwd_ms	fwd_p50_ms	bwd_ms	bwd_p50_ms	peak_mem_mb	iters	ok	err	cfg_block	cfg_fwd_warps	cfg_fwd_stages	cfg_bwd_chaos_warps	cfg_bwd_chaos_stages	cfg_bwd_attn_warps	cfg_bwd_attn_stages	cfg_chaos_iters
vortex_fused	4	8	2048	128	bf16	0.9056	0.9121	5.3075	5.3090	208.40	15	1		128	4	1	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	1.2192	1.2187	7.3570	7.3172	208.40	15	1		128	4	2	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	1.2305	1.2307	9.0983	9.0745	208.40	15	1		128	4	2	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	1.2282	1.2245	5.7291	5.7140	208.40	15	1		128	4	2	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	1.2228	1.2223	5.6006	5.5980	208.40	15	1		128	4	2	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	1.1203	1.1207	7.2918	7.2948	208.40	15	1		128	4	3	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	1.1174	1.1183	9.1136	9.1123	208.40	15	1		128	4	3	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	1.1143	1.1109	5.6758	5.6713	208.40	15	1		128	4	3	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	1.1171	1.1134	5.5238	5.5242	208.40	15	1		128	4	3	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	0.5433	0.5436	6.7804	6.7022	208.40	15	1		128	8	1	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	0.5303	0.5322	8.4814	8.4732	208.40	15	1		128	8	1	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	0.5310	0.5308	5.0610	5.0554	208.40	15	1		128	8	1	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	0.5299	0.5271	4.9284	4.9181	208.40	15	1		128	8	1	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	0.5005	0.4964	6.7171	6.7039	208.40	15	1		128	8	2	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	0.4999	0.4990	8.4530	8.4387	208.40	15	1		128	8	2	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	0.5510	0.4888	5.0340	5.0244	208.40	15	1		128	8	2	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	0.4982	0.4990	4.8801	4.8811	208.40	15	1		128	8	2	8	2	8	2	5
vortex_fused	4	8	2048	128	bf16	0.4887	0.4878	6.6731	6.6506	208.40	15	1		128	8	3	4	1	4	1	5
vortex_fused	4	8	2048	128	bf16	0.4829	0.4812	8.4106	8.4007	208.40	15	1		128	8	3	4	2	4	2	5
vortex_fused	4	8	2048	128	bf16	0.4880	0.4875	5.0144	5.0111	208.40	15	1		128	8	3	8	1	8	1	5
vortex_fused	4	8	2048	128	bf16	0.4861	0.4868	4.8979	4.8981	208.40	15	1		128	8	3	8	2	8	2	5
